Date,Launch Time (UTC),Missile Name,Missile Type,Facility Latitude,Facility Longitude,Landing Location,Apogee,Distance Travelled,Confirmation Status,Test Outcome
23-Aug-19,9:45:00 PM,KN-25,SRBM,don’t care,39.7437,127.4732,don’t care,97 km,380 km,Confirmed
23-Aug-19,10:02:00 PM,KN-25,SRBM,don’t care,39.7437,127.4732,don’t care,97 km,380 km,Confirmed
9-Sep-19,9:53:00 PM,KN-25,SRBM,don’t care,39.752321,125.899905,don’t care,50 km,330 km,Confirmed
9-Sep-19,10:12:00 PM,KN-25,SRBM,don’t care,39.752321,125.899905,don’t care,50 km,330 km,Confirmed
9-Sep-19,,KN-25,SRBM,don’t care,39.752321,125.899905,don’t care,,,Confirmed
1-Oct-19,10:00:00 PM,Pukguksong-3,SLBM,don’t care,39.26,127.58,don’t care,910 km,450 km,Confirmed
31-Oct-19,7:35:00 AM,KN-25,SRBM,39.412594,125.89031,don’t care,90 km,370 km,Confirmed,1
31-Oct-19,7:38:00 AM,KN-25,SRBM,39.412594,125.89031,don’t care,90 km,370 km,Confirmed,1
28-Nov-19,7:59:00 AM,KN-25,SRBM,don’t care,39.78938,127.53993,don’t care,97 km,380 km,Confirmed
28-Nov-19,7:59:30 AM,KN-25,SRBM,don’t care,39.78938,127.53993,don’t care,97 km,380 km,Confirmed
